Empresa;Receita_BUSD;Lucro_BUSD
58;124.17;36.47
98;53.17;5.75
139;41.43;15.98
171;53.98;5.76
173;56.26;3.49
372;15.49;1.52
563;72.58;2.99
774;9.96;3.55
928;6.79;0.7
980;15.7;2.27
1015;25.29;0.8
1026;1.64;2.65
1223;5.97;0.89
1296;47.31;18.7
1398;15.7;0.75
1436;1.76;0.82
1574;35.13;0.3
1602;35.13;-0.06
1668;18.69;0.99
1679;27.67;0.31
1974;7.69;0.23
